embedding_family,internal_metric,external_metric,spearman_corr
jina,calinski_harabasz,level_macro_f1,0.9111649353125945
jina,calinski_harabasz,level_f1_depth_3,0.9019832689868844
jina,calinski_harabasz,f1-score,0.8985937784296203
jina,calinski_harabasz,level_f1_depth_4,0.8976184077064842
jina,calinski_harabasz,level_lower_macro_f1,0.8973879624518466
jina,calinski_harabasz,ari,0.8971974937714801
jina,calinski_harabasz,level_f1_depth_5,0.8841474256607685
jina,calinski_harabasz,f0.5-score,0.8714598094204039
jina,calinski_harabasz,dendrogram_purity,0.8685477555293457
jina,calinski_harabasz,precision,0.8490446176197518
jina,calinski_harabasz,level_weighted_f1,0.8015477405348711
jina,silhouette,level_weighted_f1,0.7981268112630334
jina,silhouette,level_macro_f1,0.7956298814056237
jina,silhouette,level_f1_depth_3,0.7862618917008282
jina,dbcv,level_f1_depth_3,0.7847118384035413
jina,silhouette,level_f1_depth_2,0.7835213009066034
jina,dbcv,level_macro_f1,0.7796218446397255
jina,dbcv,level_lower_macro_f1,0.7782956359571557
jina,dbcv,level_f1_depth_4,0.7778512688765432
jina,dbcv,dendrogram_purity,0.7733150650268638
jina,dbcv,level_f1_depth_5,0.7636508421061617
jina,silhouette,f1-score,0.7589531363657706
jina,silhouette,ari,0.7563301799924391
jina,davies_bouldin_inv,level_f1_depth_2,0.75232316783613
jina,silhouette,level_f1_depth_4,0.7476699778989064
jina,dbcv,f1-score,0.7445029277582286
jina,silhouette,level_lower_macro_f1,0.7442137540756862
jina,dbcv,ari,0.742288975320862
jina,silhouette,level_f1_depth_5,0.7098055332605543
jina,dbcv,f0.5-score,0.7089009997442197
jina,silhouette,dendrogram_purity,0.6932308670277066
jina,silhouette,f0.5-score,0.6890877733717364
jina,dbcv,precision,0.684905841373625
jina,davies_bouldin_inv,level_weighted_f1,0.6814843119616677
jina,dbcv,level_weighted_f1,0.6781322146346146
jina,silhouette,precision,0.6627798631386442
jina,calinski_harabasz,level_f1_depth_2,0.6616587709903622
jina,davies_bouldin_inv,level_macro_f1,0.6434147944984793
jina,davies_bouldin_inv,level_f1_depth_3,0.6370548226863666
jina,davies_bouldin_inv,level_upper_macro_f1,0.6231276437178325
jina,silhouette,level_upper_macro_f1,0.6207060605886763
jina,davies_bouldin_inv,f1-score,0.5929852318567931
jina,davies_bouldin_inv,ari,0.5894454515593263
jina,davies_bouldin_inv,level_f1_depth_4,0.5799709285735164
jina,dbcv,level_f1_depth_2,0.5799305995080705
jina,davies_bouldin_inv,level_lower_macro_f1,0.5773032735469426
jina,davies_bouldin_inv,level_f1_depth_5,0.5299084608091571
jina,davies_bouldin_inv,dendrogram_purity,0.5187418478257999
jina,davies_bouldin_inv,f0.5-score,0.49264678125887895
jina,davies_bouldin_inv,precision,0.46229764116922256
jina,calinski_harabasz,level_upper_macro_f1,0.4135848561047181
jina,dbcv,level_upper_macro_f1,0.38886461314819043
jina,davies_bouldin_inv,tree_distance_spearman,-0.13075040033975865
jina,davies_bouldin_inv,recall,-0.14171383146949612
jina,davies_bouldin_inv,lca_similarity_spearman,-0.15765036525593473
jina,silhouette,lca_similarity_spearman,-0.2171648592494052
jina,silhouette,tree_distance_spearman,-0.24593543137895213
jina,dbcv,lca_similarity_spearman,-0.24825591711709272
jina,dbcv,recall,-0.2599953650990694
jina,silhouette,recall,-0.3086076102211079
jina,davies_bouldin_inv,level_f1_depth_1,-0.3210416306830545
jina,calinski_harabasz,lca_similarity_spearman,-0.342536322409258
jina,dbcv,tree_distance_spearman,-0.35711142133998103
jina,silhouette,level_f1_depth_1,-0.41616289101698806
jina,calinski_harabasz,recall,-0.4769024145617845
jina,dbcv,level_f1_depth_1,-0.48396136034892406
jina,calinski_harabasz,tree_distance_spearman,-0.5042178813395743
jina,calinski_harabasz,level_f1_depth_1,-0.5867395926314484
jina,silhouette,level_f1_depth_6,
jina,calinski_harabasz,level_f1_depth_6,
jina,davies_bouldin_inv,level_f1_depth_6,
jina,dbcv,level_f1_depth_6,
tfidf,calinski_harabasz,f0.5-score,0.9388009132049713
tfidf,calinski_harabasz,precision,0.935104357818824
tfidf,calinski_harabasz,level_f1_depth_5,0.8494052443646088
tfidf,calinski_harabasz,level_f1_depth_4,0.8245197239700214
tfidf,calinski_harabasz,dendrogram_purity,0.8182863936750531
tfidf,calinski_harabasz,ari,0.7924780718000136
tfidf,calinski_harabasz,f1-score,0.7878623772865165
tfidf,davies_bouldin_inv,f1-score,0.778724277817537
tfidf,davies_bouldin_inv,ari,0.7775041344016997
tfidf,calinski_harabasz,level_f1_depth_3,0.7710590444124018
tfidf,calinski_harabasz,level_lower_macro_f1,0.7701647978794567
tfidf,calinski_harabasz,level_macro_f1,0.7486945578565123
tfidf,davies_bouldin_inv,level_f1_depth_3,0.7097565795584542
tfidf,davies_bouldin_inv,f0.5-score,0.6913212677939187
tfidf,dbcv,level_f1_depth_5,0.6775276410720136
tfidf,davies_bouldin_inv,level_f1_depth_4,0.6645693084702207
tfidf,dbcv,level_f1_depth_4,0.6645640054210887
tfidf,dbcv,dendrogram_purity,0.6595194218790917
tfidf,silhouette,f1-score,0.6577416894600235
tfidf,davies_bouldin_inv,level_macro_f1,0.6569456901195512
tfidf,silhouette,ari,0.6552629462141
tfidf,davies_bouldin_inv,level_lower_macro_f1,0.6544387788022615
tfidf,davies_bouldin_inv,level_f1_depth_5,0.6542204288225599
tfidf,dbcv,f0.5-score,0.6516866436022809
tfidf,dbcv,level_lower_macro_f1,0.6369814614664989
tfidf,dbcv,level_macro_f1,0.6347841993189911
tfidf,dbcv,level_f1_depth_3,0.6269163512099093
tfidf,dbcv,precision,0.6215572437298384
tfidf,silhouette,level_f1_depth_2,0.6204143012165815
tfidf,davies_bouldin_inv,precision,0.614075201749266
tfidf,dbcv,ari,0.6064666801593673
tfidf,dbcv,f1-score,0.6047759930132042
tfidf,calinski_harabasz,level_weighted_f1,0.6034614762373746
tfidf,davies_bouldin_inv,dendrogram_purity,0.6032234260146443
tfidf,davies_bouldin_inv,level_f1_depth_2,0.5569720528017381
tfidf,silhouette,level_f1_depth_3,0.5544500267258606
tfidf,dbcv,level_weighted_f1,0.5387279793544161
tfidf,silhouette,f0.5-score,0.5383729796293715
tfidf,dbcv,level_upper_macro_f1,0.526865479485443
tfidf,davies_bouldin_inv,level_weighted_f1,0.5096524736482521
tfidf,dbcv,level_f1_depth_2,0.5087315022310834
tfidf,silhouette,level_macro_f1,0.5070326303265487
tfidf,silhouette,level_lower_macro_f1,0.497198635074683
tfidf,silhouette,level_upper_macro_f1,0.4907475135355123
tfidf,silhouette,level_f1_depth_4,0.48870949690241894
tfidf,davies_bouldin_inv,level_upper_macro_f1,0.4823100776636567
tfidf,silhouette,precision,0.4713214855080875
tfidf,silhouette,level_f1_depth_5,0.46650550230196175
tfidf,silhouette,dendrogram_purity,0.4001095372045884
tfidf,silhouette,level_weighted_f1,0.35511412432670225
tfidf,calinski_harabasz,level_upper_macro_f1,0.34362679219950554
tfidf,calinski_harabasz,level_f1_depth_2,0.30745275318169546
tfidf,davies_bouldin_inv,level_f1_depth_6,0.16675696878776466
tfidf,calinski_harabasz,level_f1_depth_6,0.15590620188118492
tfidf,dbcv,level_f1_depth_6,0.11568714796388022
tfidf,silhouette,level_f1_depth_6,0.08601236304398445
tfidf,calinski_harabasz,lca_similarity_spearman,-0.06486548259825037
tfidf,dbcv,lca_similarity_spearman,-0.12488366199976937
tfidf,silhouette,recall,-0.12694524406843932
tfidf,davies_bouldin_inv,recall,-0.13737161355436955
tfidf,dbcv,recall,-0.14323997096504756
tfidf,davies_bouldin_inv,lca_similarity_spearman,-0.20685765748831877
tfidf,calinski_harabasz,level_f1_depth_1,-0.2638724631891086
tfidf,dbcv,level_f1_depth_1,-0.26772258925448583
tfidf,silhouette,lca_similarity_spearman,-0.31304159171181806
tfidf,silhouette,tree_distance_spearman,-0.3566935154487382
tfidf,dbcv,tree_distance_spearman,-0.39340719678375363
tfidf,davies_bouldin_inv,tree_distance_spearman,-0.39827223184949206
tfidf,calinski_harabasz,recall,-0.40086786144981623
tfidf,davies_bouldin_inv,level_f1_depth_1,-0.44251337107032923
tfidf,silhouette,level_f1_depth_1,-0.5333434079123849
tfidf,calinski_harabasz,tree_distance_spearman,-0.5636999699804908
